CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"646","3",Brooklyn,"064600","3064600",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047064600","4318",5619.58922606000,1782721.39773000008,Brooklyn,"36047064600","2226",1400000US36047064600,"Census Tract 646, Kings County, New York","91831200","29481011"
"648","3",Brooklyn,"064800","3064800",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047064800","4318",5217.26477281000,1631120.78316999995,Brooklyn,"36047064800","1993",1400000US36047064800,"Census Tract 648, Kings County, New York","85964100","17821930"
"650","3",Brooklyn,"065000","3065000",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047065000","4318",5765.93755761000,1789145.98591999989,Brooklyn,"36047065000","1439",1400000US36047065000,"Census Tract 650, Kings County, New York","47903600","9657709"
"652","3",Brooklyn,"065200","3065200",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047065200","4318",6363.27736956000,1882864.45114000002,Brooklyn,"36047065200","1197",1400000US36047065200,"Census Tract 652, Kings County, New York","60335300","9785290"
"654","3",Brooklyn,"065400","3065400",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047065400","4318",6780.00331874000,1631231.62373000011,Brooklyn,"36047065400","1681",1400000US36047065400,"Census Tract 654, Kings County, New York","65202700","14228729"
"656","3",Brooklyn,"065600","3065600",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047065600","4318",5236.66051453000,1653144.01298000012,Brooklyn,"36047065600","1795",1400000US36047065600,"Census Tract 656, Kings County, New York","105595200","34292711"
"658","3",Brooklyn,"065800","3065800",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047065800","4318",6272.71646135000,1650702.37251999998,Brooklyn,"36047065800","1844",1400000US36047065800,"Census Tract 658, Kings County, New York","73769400","16629376"
"660","3",Brooklyn,"066000","3066000",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047066000","4318",5223.59689396000,1639605.31199000007,Brooklyn,"36047066000","1762",1400000US36047066000,"Census Tract 660, Kings County, New York","103858100","23792360"
"670","3",Brooklyn,"067000","3067000",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047067000","4318",6229.35027059000,2243640.05649999995,Brooklyn,"36047067000","2876",1400000US36047067000,"Census Tract 670, Kings County, New York","111727100","29731384"
"672","3",Brooklyn,"067200","3067200",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047067200","4318",8333.16547037000,1869823.29004000011,Brooklyn,"36047067200","1435",1400000US36047067200,"Census Tract 672, Kings County, New York","53721500","13350947"
"674","3",Brooklyn,"067400","3067400",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047067400","4318",7270.49801339000,2039940.92565999995,Brooklyn,"36047067400","1992",1400000US36047067400,"Census Tract 674, Kings County, New York","77890200","17482413"
"676","3",Brooklyn,"067600","3067600",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047067600","4318",6353.53503170000,1672665.83935000002,Brooklyn,"36047067600","1622",1400000US36047067600,"Census Tract 676, Kings County, New York","63699400","15625620"
"678","3",Brooklyn,"067800","3067800",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047067800","4318",5416.41539872000,1789096.15641000005,Brooklyn,"36047067800","2874",1400000US36047067800,"Census Tract 678, Kings County, New York","92354200","14382006"
"680","3",Brooklyn,"068000","3068000",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047068000","4318",5527.06377759000,1817783.30865000002,Brooklyn,"36047068000","1887",1400000US36047068000,"Census Tract 680, Kings County, New York","64635600","13979415"
"682","3",Brooklyn,"068200","3068200",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047068200","4318",6486.69636094000,2176848.69418000011,Brooklyn,"36047068200","2489",1400000US36047068200,"Census Tract 682, Kings County, New York","101142500","21659632"
"686","3",Brooklyn,"068600","3068600",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047068600","4318",6255.09057430000,1592924.36073000007,Brooklyn,"36047068600","1749",1400000US36047068600,"Census Tract 686, Kings County, New York","74329600","33591147"
"688","3",Brooklyn,"068800","3068800",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047068800","4318",5544.89326632000,1686416.95268000010,Brooklyn,"36047068800","1706",1400000US36047068800,"Census Tract 688, Kings County, New York","74356100","13955037"
"690","3",Brooklyn,"069000","3069000",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047069000","4318",6663.14345946000,1861628.93014000007,Brooklyn,"36047069000","1880",1400000US36047069000,"Census Tract 690, Kings County, New York","78400800","16407137"
"692","3",Brooklyn,"069200","3069200",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047069200","4318",6487.94856311000,1952887.63742000004,Brooklyn,"36047069200","2512",1400000US36047069200,"Census Tract 692, Kings County, New York","96949100","13880802"
"696.01","3",Brooklyn,"069601","3069601",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047069601","4318",10389.07376790000,4532216.36017000023,Brooklyn,"36047069601","3932",1400000US36047069601,"Census Tract 696.01, Kings County, New York","145581700","34818799"
"698","3",Brooklyn,"069800","3069800",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047069800","4318",27352.45050740000,5428346.55790000036,Brooklyn,"36047069800","1417",1400000US36047069800,"Census Tract 698, Kings County, New York","59901300","13461348"
"700","3",Brooklyn,"070000","3070000",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047070000","4318",6151.50594281000,2177086.05640000012,Brooklyn,"36047070000","1650",1400000US36047070000,"Census Tract 700, Kings County, New York","62974600","14194349"
"702.01","3",Brooklyn,"070201","3070201",,Marine Park-Mill Basin-Bergen Beach,BK1802,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047070201","4318",17924.85750210000,11085721.45800000057,Brooklyn,"36047070201","6719",1400000US36047070201,"Census Tract 702.01, Kings County, New York","468445400","124746135"
"702.03","3",Brooklyn,"070203","3070203",,Jamaica Bay (West),BK5692,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),"36047070203","4318",136901.82972199999,39754276.89350000024,Brooklyn,"36047070203","0",1400000US36047070203,"Census Tract 702.03, Kings County, New York",,
"720","3",Brooklyn,"072000","3072000",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047072000","4318",6664.51621402000,1701872.00973000005,Brooklyn,"36047072000","2205",1400000US36047072000,"Census Tract 720, Kings County, New York","56253000","12316141"
"722","3",Brooklyn,"072200","3072200",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047072200","4318",8425.52808534000,2769417.67907000007,Brooklyn,"36047072200","2893",1400000US36047072200,"Census Tract 722, Kings County, New York","78825100","10939409"
"724","3",Brooklyn,"072400","3072400",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047072400","4318",6556.41271929000,2068970.22628000006,Brooklyn,"36047072400","1911",1400000US36047072400,"Census Tract 724, Kings County, New York","69505600","11397011"
"726","3",Brooklyn,"072600","3072600",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047072600","4318",7156.17806700000,2962944.12466000021,Brooklyn,"36047072600","2582",1400000US36047072600,"Census Tract 726, Kings County, New York","64285900","20103898"
"728","3",Brooklyn,"072800","3072800",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047072800","4318",7568.72860200000,2282665.40970999980,Brooklyn,"36047072800","3645",1400000US36047072800,"Census Tract 728, Kings County, New York","140270800","23828156"
"730","3",Brooklyn,"073000","3073000",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047073000","4318",7815.92290680000,1991258.00610000012,Brooklyn,"36047073000","2170",1400000US36047073000,"Census Tract 730, Kings County, New York","100899900","30782975"
"732","3",Brooklyn,"073200","3073200",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047073200","4318",5434.71461909000,1722429.16524000000,Brooklyn,"36047073200","2173",1400000US36047073200,"Census Tract 732, Kings County, New York","69220200","14301063"
"734","3",Brooklyn,"073400","3073400",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047073400","4318",5187.84472622000,1626697.96369999996,Brooklyn,"36047073400","1818",1400000US36047073400,"Census Tract 734, Kings County, New York","61738700","21846915"
"736","3",Brooklyn,"073600","3073600",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047073600","4318",5830.20876810000,1915690.50025999988,Brooklyn,"36047073600","3473",1400000US36047073600,"Census Tract 736, Kings County, New York","96970700","17302007"
"738","3",Brooklyn,"073800","3073800",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047073800","4318",5813.69050812000,1941782.30532999989,Brooklyn,"36047073800","3290",1400000US36047073800,"Census Tract 738, Kings County, New York","87119700","17159751"
"740","3",Brooklyn,"074000","3074000",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047074000","4318",5614.87923947000,1747894.42011000006,Brooklyn,"36047074000","3446",1400000US36047074000,"Census Tract 740, Kings County, New York","102955400","19777297"
"742","3",Brooklyn,"074200","3074200",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047074200","4318",5663.83990613000,1876115.69616999989,Brooklyn,"36047074200","3023",1400000US36047074200,"Census Tract 742, Kings County, New York","85930200","15492055"
"744","3",Brooklyn,"074400","3074400",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047074400","4318",5625.70583191000,1836193.76191999996,Brooklyn,"36047074400","2481",1400000US36047074400,"Census Tract 744, Kings County, New York","112727000","32317430"
"746","3",Brooklyn,"074600","3074600",,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047074600","4318",7808.63419784000,2171151.29057999980,Brooklyn,"36047074600","2100",1400000US36047074600,"Census Tract 746, Kings County, New York","82234900","13526650"
"748","3",Brooklyn,"074800","3074800",,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047074800","4314",5679.86398687000,1900352.04459999991,Brooklyn,"36047074800","1936",1400000US36047074800,"Census Tract 748, Kings County, New York","83863500","21534838"
"750","3",Brooklyn,"075000","3075000",,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047075000","4314",5639.07872659000,1866699.22135000001,Brooklyn,"36047075000","2928",1400000US36047075000,"Census Tract 750, Kings County, New York","109649900","20857438"
"752","3",Brooklyn,"075200","3075200",,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047075200","4314",5638.87876735000,1864085.14149999991,Brooklyn,"36047075200","1042",1400000US36047075200,"Census Tract 752, Kings County, New York","68458900","25984597"
"754","3",Brooklyn,"075400","3075400",,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047075400","4314",5639.97197529000,1867167.87887999997,Brooklyn,"36047075400","1402",1400000US36047075400,"Census Tract 754, Kings County, New York","62110500","14880014"
